slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
guacamole,https://caloriedata.org/calories-in/guacamole,Guacamole,Snacks,snacks,150.0,2.0,13.0,9.0,5.0,1.0,375.0,0.0,2026-05-04T03:05:08Z
guava,https://caloriedata.org/calories-in/guava,Guava,Fruits,fruits,68.0,2.6,0.9,14.0,5.4,9.0,2.0,0.0,2026-05-04T03:05:08Z
gyro,https://caloriedata.org/calories-in/gyro,Gyro,Fast Food,fast-food,250.0,20.0,10.0,24.0,0.0,2.0,600.0,0.0,2026-05-04T03:04:58Z
halibut,https://caloriedata.org/calories-in/halibut,Halibut,Proteins & Meats,proteins,111.0,21.0,2.3,0.0,0.0,0.0,74.0,0.0,2026-05-04T03:04:58Z
ham,https://caloriedata.org/calories-in/ham,Ham,Proteins & Meats,proteins,145.0,21.0,6.0,1.5,0.0,1.5,1203.0,53.0,2026-05-04T03:04:58Z
hamburger,https://caloriedata.org/calories-in/hamburger,Hamburger,Fast Food,fast-food,215.0,17.0,9.0,16.0,0.0,3.0,404.0,0.0,2026-05-04T03:04:58Z
honey-nut-cheerios-breakfast-cereal,https://caloriedata.org/calories-in/honey-nut-cheerios-breakfast-cereal,Honey Nut Cheerios Breakfast Cereal,Grains & Cereals,grains,378.0,8.11,5.41,81.1,8.1,32.4,568.0,0.0,2026-05-04T03:04:58Z
honey-nut-cheerios-cereal,https://caloriedata.org/calories-in/honey-nut-cheerios-cereal,Honey Nut Cheerios Cereal,Grains & Cereals,grains,393.0,7.14,5.36,78.6,7.1,32.1,571.0,0.0,2026-05-04T03:04:59Z
honey-nut-cheerios-cereal-bowlpak,https://caloriedata.org/calories-in/honey-nut-cheerios-cereal-bowlpak,Honey Nut Cheerios Cereal Bowlpak,Grains & Cereals,grains,393.0,7.14,5.36,82.1,7.1,32.1,571.0,0.0,2026-05-04T03:04:58Z
honey-nut-cheerios-treats-honey-nut,https://caloriedata.org/calories-in/honey-nut-cheerios-treats-honey-nut,"HONEY NUT CHEERIOS TREATS, HONEY NUT",Grains & Cereals,grains,417.0,4.17,14.6,70.8,4.2,37.5,354.0,0.0,2026-05-04T03:04:59Z
